method,timesteps,mean_eval_return
sac_published,50104,-1005.9581298828125
sac_published,100256,-769.3502807617188
sac_published,150376,-622.8892211914062
sac_published,200472,-262.96087646484375
sac_published,250664,-156.30210876464844
sac_published,300048,-157.70486450195312
sac_published,350000,-159.2857208251953
sac_published,400184,-53.20334243774414
sac_published,450424,-15.877713203430176
sac_published,500120,-16.668535232543945
sac_published,550704,18.192747116088867
sac_published,600392,20.355083465576172
sac_published,650400,19.669973373413086
sac_published,700320,19.579055786132812
sac_published,750400,-14.730257987976074
sac_published,800448,-15.035162925720215
sac_published,850096,57.41579055786133
sac_published,900784,57.366180419921875
sac_published,950152,58.235084533691406
ppo_seed0,50000,-762.3545973550306
ppo_seed0,100000,-748.7646391661181
ppo_seed0,150000,-318.526924584856
ppo_seed0,200000,-316.0078324686472
ppo_seed0,250000,-338.6237444755676
ppo_seed0,300000,-249.40035359467882
ppo_seed0,350000,-194.65876101259215
ppo_seed0,400000,-229.07281613663406
ppo_seed0,450000,-246.6051991836957
ppo_seed0,500000,-123.10079612294831
ppo_seed0,550000,-122.84360872627197
ppo_seed0,600000,-36.42466845940742
ppo_seed0,650000,-39.605951303451555
ppo_seed0,700000,-20.644733996380157
ppo_seed0,750000,-72.73311608595215
ppo_seed0,800000,-123.77526521845776
ppo_seed0,850000,-288.6863033157926
ppo_seed0,900000,-177.66838685723786
ppo_seed0,950000,-125.4064936898431
ppo_seed0,1000000,-89.60961225495996
ppo_seed1,50000,-654.2281536463009
ppo_seed1,100000,-492.0640172079517
ppo_seed1,150000,-408.58750299387276
ppo_seed1,200000,-376.15187402015243
ppo_seed1,250000,-418.63521176360535
ppo_seed1,300000,-565.6621355859522
ppo_seed1,350000,-524.7473037526619
ppo_seed1,400000,-380.13723181893624
ppo_seed1,450000,-381.07797027436135
ppo_seed1,500000,-223.54621024275713
ppo_seed1,550000,-260.0271620471788
ppo_seed1,600000,-137.98944959835606
ppo_seed1,650000,-159.6594671459935
ppo_seed1,700000,-88.58573736733372
ppo_seed1,750000,-157.5884444784518
ppo_seed1,800000,-46.94056151677837
ppo_seed1,850000,-31.17195929132755
ppo_seed1,900000,-178.986596031263
ppo_seed1,950000,-70.41283709396322
ppo_seed1,1000000,-49.95063942123573
ppo_seed2,50000,-799.4491225010099
ppo_seed2,100000,-458.1746184345764
ppo_seed2,150000,-372.34982890642834
ppo_seed2,200000,-231.43149429477938
ppo_seed2,250000,-141.85725305767826
ppo_seed2,300000,-141.91379964154814
ppo_seed2,350000,-144.95434966136045
ppo_seed2,400000,-126.36970562454937
ppo_seed2,450000,-124.46034875688771
ppo_seed2,500000,-212.60669453002347
ppo_seed2,550000,-477.7158106353544
ppo_seed2,600000,-477.0940718606373
ppo_seed2,650000,-442.2175196623941
ppo_seed2,700000,-407.258058882602
ppo_seed2,750000,-266.00692368723315
ppo_seed2,800000,-231.6601532850324
ppo_seed2,850000,-376.7004667040772
ppo_seed2,900000,-231.6906534460062
